A:01 F:B0 B:00 C:13 D:00 E:D8 H:01 L:4D SP:FFFE PC:0100 PCMEM:3E,0F,C6,01
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:012F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0130 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0131 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0132 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0133 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0134 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0135 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0136 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0137 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0138 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0139 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:013A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:013B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:013C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:013D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:013E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:013F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0140 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0141 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0142 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0143 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0144 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0145 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0146 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0147 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0148 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0149 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:014A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:014B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:014C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:014D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:014E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:014F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0150 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0151 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0152 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0153 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0154 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0155 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0156 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0157 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0158 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0159 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:015A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:015B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:015C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:015D PCMEM:00,00,00,C9
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:015E PCMEM:00,00,C9,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:015F PCMEM:00,C9,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:FFFE PC:0160 PCMEM:C9,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0000 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0001 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0002 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0003 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0004 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0005 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0006 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0007 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0008 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0009 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:000A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:000B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:000C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:000D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:000E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:000F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0010 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0011 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0012 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0013 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0014 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0015 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0016 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0017 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0018 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0019 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:001A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:001B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:001C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:001D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:001E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:001F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0020 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0021 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0022 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0023 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0024 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0025 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0026 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0027 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0028 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0029 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:002A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:002B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:002C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:002D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:002E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:002F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0030 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0031 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0032 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0033 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0034 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0035 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0036 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0037 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0038 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0039 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:003A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:003B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:003C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:003D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:003E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:003F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0040 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0041 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0042 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0043 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0044 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0045 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0046 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0047 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0048 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0049 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:004A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:004B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:004C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:004D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:004E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:004F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0050 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0051 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0052 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0053 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0054 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0055 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0056 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0057 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0058 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0059 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:005A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:005B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:005C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:005D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:005E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:005F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0060 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0061 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0062 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0063 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0064 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0065 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0066 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0067 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0068 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0069 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:006A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:006B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:006C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:006D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:006E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:006F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0070 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0071 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0072 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0073 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0074 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0075 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0076 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0077 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0078 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0079 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:007A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:007B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:007C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:007D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:007E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:007F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0080 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0081 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0082 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0083 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0084 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0085 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0086 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0087 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0088 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0089 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:008A PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:008B PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:008C PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:008D PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:008E PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:008F PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0090 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0091 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0092 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0093 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0094 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0095 PCMEM:00,00,00,00
A:10 F:00 B:18 C:00 D:00 E:D8 H:01 L:4D SP:0000 PC:0096 PCMEM:00,00,00,00
